name,temp,dod,c_dch,soc_max,stage,cap_0,norm_cu_1,norm_cu_2,norm_cu_3,target_retention,final_retention,n_checkups
TP_z13_03_s2,35,0.05,1.2,0.7,2,4.8552,0.9962102488054045,0.9870242214532873,0.982781347833251,0.9806805074971165,0.9373249299719889,11
TP_z14_01,35,0.25,1.4,0.55,1,4.8641,0.9964844472769887,0.9895972533459428,0.9855677309265846,0.977714273966407,0.9618017721675131,8
TP_z14_01_s2,35,0.25,1.4,0.55,2,4.8303,0.9950727698072582,0.9830238287476969,0.976999358217916,0.9731900710100821,0.9199428606918825,11
TP_z14_02,35,0.25,1.4,0.55,1,4.863,0.9963397079991774,0.9912811022002878,0.9885872917951881,0.982377133456714,0.9630063746658439,8
TP_z14_02_s2,35,0.25,1.4,0.55,2,4.8436,0.9953753406557105,0.9845775869188207,0.979622594764225,0.9755966636386157,0.9293707159963663,11
TP_z14_03,35,0.25,1.4,0.55,1,4.8293,0.9971424430041621,0.991365208208229,0.9891909800592218,0.9816122419398257,0.9634729670966806,8
TP_z14_03_s2,35,0.25,1.4,0.55,2,4.825,0.99539896373057,0.985160621761658,0.9803523316062176,0.976,0.9329533678756476,11
TP_z15_01,35,0.5,1.7,0.7,1,4.8104,0.9914352236820223,0.9738899052053884,0.9640570430733412,0.953642108764344,0.8677656743721935,7
TP_z15_01_s2,35,0.5,1.7,0.7,2,4.8431,0.991864714748818,0.9813342693729223,0.9764613573950569,0.9585596002560345,0.9203402779211662,8
TP_z15_02,35,0.5,1.7,0.7,1,4.8112,0.9910417359494511,0.9737071832391088,0.9642500831393415,0.9529847023611572,0.8483538410375789,8
TP_z15_02_s2,35,0.5,1.7,0.7,2,4.7897,0.9920871870889618,0.9810844102970958,0.975280288953379,0.9576800217132597,0.9195565484268325,8
TP_z15_03,35,0.5,1.7,0.7,1,4.8174,0.9910325071615395,0.9752563623531365,0.968136339104081,0.9555776975131813,0.851123012413335,8
TP_z15_03_s2,35,0.5,1.7,0.7,2,4.8356,0.9922656960873519,0.9822979568202498,0.9764455289932997,0.9597568037058483,0.9237323186367772,8
TP_z16_01,45,0.4,0.2,0.75,1,4.8057,0.9929250681482407,0.9791081424142165,0.9734481969328089,0.95923590736001,0.9193457768899432,9
TP_z16_01_s2,45,0.4,0.2,0.75,2,4.8143,0.9919199052821802,0.9766321168186445,0.9698813950106973,0.9569823234945889,0.8849677003925804,11
TP_z16_02,45,0.4,0.2,0.75,1,4.7962,0.9931612526583545,0.9809849464159126,0.9749593428130604,0.9599891580834828,0.9118677286184896,10
TP_z16_02_s2,45,0.4,0.2,0.75,2,4.8163,0.9915287668957499,0.9762473267861221,0.9696447480431035,0.9579345140460519,0.8785374665199427,11
TP_z16_03,45,0.4,0.2,0.75,1,4.7968,0.9927034689793195,0.9794654769846564,0.9734823215476984,0.9599107738492327,0.9107113075383589,10
TP_z16_03_s2,45,0.4,0.2,0.75,2,4.8031,0.991338926943016,0.9760779496575129,0.968999188024401,0.9573192313297662,0.8770793862297267,11
TP_z17_01,45,0.35,0.4,0.8,1,4.8116,0.9912918779615928,0.9748732230443095,0.9669756421980215,0.9537160196192533,0.867840219469615,8
TP_z17_01_s2,45,0.35,0.4,0.8,2,4.8077,0.990972814443497,0.9741248414002538,0.9666784533144748,0.9486864821016286,0.8900305759510785,10
TP_z17_02,45,0.35,0.4,0.8,1,4.7949,0.9914701036517966,0.973638657740516,0.9655258712381906,0.9533462637385556,0.8693403407787441,8
TP_z17_02_s2,45,0.35,0.4,0.8,2,4.81,0.9904989604989607,0.9730145530145531,0.9657588357588358,0.9478378378378379,0.8871309771309772,10
TP_z17_03,45,0.35,0.4,0.8,1,4.8087,0.9913906045292906,0.9756898953979245,0.9676211865992888,0.9546239108282903,0.8621872855449497,8
TP_z17_03_s2,45,0.35,0.4,0.8,2,4.8148,0.9906745866910359,0.972522223145302,0.9648998919996677,0.9407244329982554,0.848155686632882,10
TP_z18_01,45,0.6,0.6,0.8,1,4.7879,0.9921259842519686,0.9754589694855783,0.9675222957872971,0.946197706719021,0.8512917980743123,10
