name,serial,type,stage,temp,soc_max,dod,c_ch,c_dch,sampling,n_checkups,cap_initial,cap_final,retention_pct
TP_z08_02,TP_z08_02,z,1,35,0.55,0.3,0.8,0.5,cLH,8,4.864,4.6651,95.91
TP_z08_02_s2,TP_z08_02,z,2,35,0.55,0.3,0.8,0.5,cLH,8,4.7811,4.5527,95.22
TP_z08_03,TP_z08_03,z,1,35,0.55,0.3,0.8,0.5,cLH,8,4.8719,4.6555,95.56
TP_z08_03_s2,TP_z08_03,z,2,35,0.55,0.3,0.8,0.5,cLH,8,4.7782,4.5583,95.4
TP_z09_01,TP_z09_01,z,1,35,0.5,0.25,0.4,0.7,cLH,8,4.8693,4.7231,97.0
TP_z09_01_s2,TP_z09_01,z,2,35,0.5,0.25,0.4,0.7,cLH,8,4.8104,4.6708,97.1
TP_z09_02,TP_z09_02,z,1,35,0.5,0.25,0.4,0.7,cLH,8,4.8818,4.727,96.83
TP_z09_02_s2,TP_z09_02,z,2,35,0.5,0.25,0.4,0.7,cLH,8,4.833,4.6773,96.78
TP_z09_03,TP_z09_03,z,1,35,0.5,0.25,0.4,0.7,cLH,8,4.8648,4.7248,97.12
TP_z09_03_s2,TP_z09_03,z,2,35,0.5,0.25,0.4,0.7,cLH,8,4.8288,4.6828,96.98
TP_z10_01,TP_z10_01,z,1,35,0.8,0.15,0.5,0.8,cLH,4,4.7508,4.5959,96.74
TP_z10_01_s2,TP_z10_01,z,2,35,0.8,0.15,0.5,0.8,cLH,8,4.8171,4.5484,94.42
TP_z10_02,TP_z10_02,z,1,35,0.8,0.15,0.5,0.8,cLH,5,4.7652,4.4936,94.3
TP_z10_02_s2,TP_z10_02,z,2,35,0.8,0.15,0.5,0.8,cLH,8,4.8249,4.5524,94.35
TP_z10_03,TP_z10_03,z,1,35,0.8,0.15,0.5,0.8,cLH,8,4.8216,4.5564,94.5
TP_z10_03_s2,TP_z10_03,z,2,35,0.8,0.15,0.5,0.8,cLH,6,4.7552,4.4035,92.6
TP_z11_01,TP_z11_01,z,1,35,0.35,0.15,0.9,0.9,cLH,8,4.8439,4.7141,97.32
TP_z11_01_s2,TP_z11_01,z,2,35,0.35,0.15,0.9,0.9,cLH,8,4.7756,4.5476,95.23
TP_z11_02,TP_z11_02,z,1,35,0.35,0.15,0.9,0.9,cLH,8,4.7973,4.6617,97.17
TP_z11_02_s2,TP_z11_02,z,2,35,0.35,0.15,0.9,0.9,cLH,8,4.7786,4.5465,95.14
TP_z11_03,TP_z11_03,z,1,35,0.35,0.15,0.9,0.9,cLH,8,4.7997,4.6736,97.37
TP_z11_03_s2,TP_z11_03,z,2,35,0.35,0.15,0.9,0.9,cLH,8,4.7713,4.5425,95.2
TP_z12_01,TP_z12_01,z,1,35,0.35,0.05,0.2,1.0,cLH,8,4.8391,4.7107,97.35
TP_z12_01_s2,TP_z12_01,z,2,35,0.35,0.05,0.2,1.0,cLH,10,4.8053,4.5698,95.1
TP_z12_02,TP_z12_02,z,1,35,0.35,0.05,0.2,1.0,cLH,8,4.8258,4.7029,97.45
TP_z12_02_s2,TP_z12_02,z,2,35,0.35,0.05,0.2,1.0,cLH,10,4.8337,4.5917,94.99
TP_z12_03,TP_z12_03,z,1,35,0.35,0.05,0.2,1.0,cLH,8,4.8366,4.7165,97.52
TP_z12_03_s2,TP_z12_03,z,2,35,0.35,0.05,0.2,1.0,cLH,10,4.8373,4.5928,94.95
TP_z13_01,TP_z13_01,z,1,35,0.7,0.05,0.3,1.2,cLH,8,4.8033,4.5882,95.52
TP_z13_01_s2,TP_z13_01,z,2,35,0.7,0.05,0.3,1.2,cLH,11,4.8497,4.5523,93.87
TP_z13_02,TP_z13_02,z,1,35,0.7,0.05,0.3,1.2,cLH,8,4.8306,4.6017,95.26
TP_z13_02_s2,TP_z13_02,z,2,35,0.7,0.05,0.3,1.2,cLH,11,4.8534,4.5569,93.89
TP_z13_03,TP_z13_03,z,1,35,0.7,0.05,0.3,1.2,cLH,8,4.8082,4.5816,95.29
TP_z13_03_s2,TP_z13_03,z,2,35,0.7,0.05,0.3,1.2,cLH,11,4.8552,4.5509,93.73
TP_z14_01,TP_z14_01,z,1,35,0.55,0.25,0.4,1.4,cLH,8,4.8641,4.6783,96.18
TP_z14_01_s2,TP_z14_01,z,2,35,0.55,0.25,0.4,1.4,cLH,11,4.8303,4.4436,91.99
TP_z14_02,TP_z14_02,z,1,35,0.55,0.25,0.4,1.4,cLH,8,4.863,4.6831,96.3
TP_z14_02_s2,TP_z14_02,z,2,35,0.55,0.25,0.4,1.4,cLH,11,4.8436,4.5015,92.94
TP_z14_03,TP_z14_03,z,1,35,0.55,0.25,0.4,1.4,cLH,8,4.8293,4.6529,96.35
TP_z14_03_s2,TP_z14_03,z,2,35,0.55,0.25,0.4,1.4,cLH,11,4.825,4.5015,93.3
TP_z15_01,TP_z15_01,z,1,35,0.7,0.5,0.7,1.7,cLH,7,4.8104,4.1743,86.78
TP_z15_01_s2,TP_z15_01,z,2,35,0.7,0.5,0.7,1.7,cLH,8,4.8431,4.4573,92.03
TP_z15_02,TP_z15_02,z,1,35,0.7,0.5,0.7,1.7,cLH,8,4.8112,4.0816,84.84
TP_z15_02_s2,TP_z15_02,z,2,35,0.7,0.5,0.7,1.7,cLH,8,4.7897,4.4044,91.96
TP_z15_03,TP_z15_03,z,1,35,0.7,0.5,0.7,1.7,cLH,8,4.8174,4.1002,85.11
TP_z15_03_s2,TP_z15_03,z,2,35,0.7,0.5,0.7,1.7,cLH,8,4.8356,4.4668,92.37
TP_z16_01,TP_z16_01,z,1,45,0.75,0.4,0.7,0.2,cLH,9,4.8057,4.4181,91.93
TP_z16_01_s2,TP_z16_01,z,2,45,0.75,0.4,0.7,0.2,cLH,11,4.8143,4.2605,88.5
